classifier,size,training,validation
weka.classifiers.functions.Logistic,7407,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7407,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7407,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7407,2.10526315789474,0.0
weka.classifiers.functions.Logistic,7407,0.0,20.0
weka.classifiers.functions.Logistic,7407,2.10526315789474,0.0
weka.classifiers.trees.LMT,7088,2.10526315789474,0.0
weka.classifiers.trees.LMT,7288,2.10526315789474,0.0
weka.classifiers.trees.LMT,7288,2.1276595744680833,0.0
weka.classifiers.trees.LMT,7088,0.0,20.0
weka.classifiers.trees.LMT,7288,2.1276595744680833,0.0
weka.classifiers.trees.LMT,7088,2.1276595744680833,0.0
weka.classifiers.trees.LMT,7288,2.10526315789474,0.0
weka.classifiers.rules.PART,6356,1.0638297872340416,0.0
weka.classifiers.rules.PART,6356,0.0,9.090909090909093
weka.classifiers.rules.PART,5336,1.05263157894737,0.0
weka.classifiers.rules.PART,6356,1.05263157894737,0.0
weka.classifiers.rules.PART,6356,0.0,30.0
weka.classifiers.rules.PART,5748,1.05263157894737,0.0
weka.classifiers.rules.PART,8045,1.0638297872340416,0.0
weka.classifiers.functions.SMO,40099,2.1276595744680833,0.0
weka.classifiers.functions.SMO,40099,1.0638297872340416,9.090909090909093
weka.classifiers.functions.SMO,40099,3.191489361702125,0.0
weka.classifiers.functions.SMO,40332,2.10526315789474,0.0
weka.classifiers.functions.SMO,40099,2.1276595744680833,0.0
weka.classifiers.functions.SMO,40332,2.10526315789474,0.0
weka.classifiers.functions.SMO,40332,2.10526315789474,0.0
weka.classifiers.functions.SMO,40332,2.10526315789474,0.0
weka.classifiers.functions.SMO,40099,3.191489361702125,0.0
weka.classifiers.functions.SMO,40332,0.0,30.0
weka.classifiers.functions.Logistic,7407,3.191489361702125,0.0
weka.classifiers.functions.Logistic,7407,3.191489361702125,0.0
weka.classifiers.functions.Logistic,7407,3.191489361702125,0.0
weka.classifiers.functions.Logistic,7407,1.05263157894737,20.0
weka.classifiers.functions.Logistic,7407,3.1578947368421098,0.0
weka.classifiers.functions.Logistic,7407,3.191489361702125,0.0
weka.classifiers.functions.Logistic,7407,3.1578947368421098,0.0
weka.classifiers.meta.Stacking,9723,63.829787234042556,90.9090909090909
weka.classifiers.lazy.IBk,9499,1.0638297872340416,0.0
weka.classifiers.lazy.IBk,9499,1.0638297872340416,0.0
weka.classifiers.lazy.IBk,9568,1.05263157894737,0.0
weka.classifiers.lazy.IBk,9568,1.05263157894737,0.0
weka.classifiers.lazy.IBk,9568,1.05263157894737,20.0
weka.classifiers.lazy.IBk,9568,1.05263157894737,0.0
weka.classifiers.lazy.IBk,9499,0.0,0.0
weka.classifiers.meta.Stacking,28062,65.26315789473685,80.0
weka.classifiers.rules.ZeroR,944,64.21052631578948,90.0
weka.classifiers.lazy.KStar,10114,2.1276595744680833,0.0
weka.classifiers.lazy.KStar,10167,2.10526315789474,0.0
weka.classifiers.lazy.KStar,10114,2.1276595744680833,0.0
weka.classifiers.lazy.KStar,10167,1.05263157894737,0.0
weka.classifiers.lazy.KStar,10114,1.0638297872340416,9.090909090909093
weka.classifiers.lazy.KStar,10167,2.10526315789474,0.0
weka.classifiers.lazy.KStar,10167,1.05263157894737,0.0
weka.classifiers.lazy.KStar,10114,2.1276595744680833,0.0
weka.classifiers.lazy.KStar,10114,2.1276595744680833,0.0
weka.classifiers.lazy.KStar,10167,0.0,30.0
weka.classifiers.trees.REPTree,2748,3.191489361702125,0.0
weka.classifiers.trees.REPTree,2748,4.255319148936167,9.090909090909093
weka.classifiers.trees.REPTree,2748,2.1276595744680833,9.090909090909093
weka.classifiers.rules.ZeroR,944,64.8936170212766,81.81818181818181
weka.classifiers.trees.REPTree,2748,6.38297872340425,0.0
weka.classifiers.trees.REPTree,2748,2.10526315789474,20.0
weka.classifiers.trees.REPTree,2748,4.255319148936167,0.0
weka.classifiers.trees.RandomForest,5344,1.05263157894737,20.0
weka.classifiers.trees.REPTree,3376,1.0638297872340416,0.0
weka.classifiers.trees.REPTree,3376,1.05263157894737,0.0
weka.classifiers.trees.REPTree,3376,1.0638297872340416,0.0
weka.classifiers.trees.REPTree,3062,0.0,30.0
weka.classifiers.trees.REPTree,3062,0.0,9.090909090909093
weka.classifiers.trees.REPTree,3376,1.05263157894737,0.0
weka.classifiers.trees.REPTree,3376,1.05263157894737,0.0
weka.classifiers.meta.AdaBoostM1,233392,0.0,20.0
weka.classifiers.bayes.BayesNet,8449,3.191489361702125,0.0
