classifier,size,train,valid
weka.classifiers.functions.SMO,8031,3.1578947368421098,0.0
weka.classifiers.functions.SMO,8002,3.1578947368421098,0.0
weka.classifiers.functions.SMO,8066,3.191489361702125,0.0
weka.classifiers.functions.SMO,8056,3.191489361702125,0.0
weka.classifiers.functions.SMO,7998,3.1578947368421098,0.0
weka.classifiers.functions.SMO,8080,2.10526315789474,0.0
weka.classifiers.trees.LMT,6911,18.085106382978722,9.090909090909093
weka.classifiers.trees.LMT,2782,1.05263157894737,0.0
weka.classifiers.trees.LMT,2747,1.05263157894737,20.0
weka.classifiers.trees.LMT,2799,3.1578947368421098,0.0
weka.classifiers.meta.AdaBoostM1,1278,2.10526315789474,0.0
weka.classifiers.meta.AdaBoostM1,1314,1.05263157894737,0.0
weka.classifiers.meta.AdaBoostM1,1275,2.1276595744680833,0.0
weka.classifiers.meta.AdaBoostM1,1279,2.1276595744680833,0.0
weka.classifiers.meta.AdaBoostM1,1383,1.05263157894737,0.0
weka.classifiers.meta.AdaBoostM1,1300,2.10526315789474,10.0
weka.classifiers.meta.AdaBoostM1,1273,2.10526315789474,20.0
weka.classifiers.trees.LMT,6826,0.0,9.090909090909093
weka.classifiers.trees.LMT,7057,3.1578947368421098,0.0
weka.classifiers.trees.LMT,6822,2.1276595744680833,0.0
weka.classifiers.trees.LMT,6134,2.1276595744680833,0.0
weka.classifiers.trees.LMT,6138,2.10526315789474,0.0
weka.classifiers.trees.LMT,6969,2.10526315789474,0.0
weka.classifiers.trees.LMT,5379,2.1276595744680833,0.0
weka.classifiers.trees.LMT,5524,2.1276595744680833,0.0
weka.classifiers.trees.LMT,5410,0.0,20.0
weka.classifiers.trees.LMT,5341,2.10526315789474,0.0
weka.classifiers.functions.SMO,7288,52.63157894736842,60.0
weka.classifiers.rules.DecisionTable,2568,3.191489361702125,0.0
weka.classifiers.rules.DecisionTable,2601,2.1276595744680833,9.090909090909093
weka.classifiers.rules.DecisionTable,2608,5.319148936170208,9.090909090909093
weka.classifiers.functions.SMO,7519,0.0,20.0
weka.classifiers.rules.JRip,2149,1.0638297872340416,0.0
